,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
3814,1,1.4375,1.1875,0.4,31.581343,14.04717725,7.78193775,8.221355,9
457,1,1.0625,0.7625,0.275,10.1774705,4.9044635,2.48058125,2.76407625,9
2404,0,1.55,1.2,0.45,32.04910975,14.98271075,7.52679225,8.674947,12
3828,0,1.2375,0.95,0.3375,14.44407025,5.85417175,3.30271675,4.6776675,8
3029,0,0.725,0.525,0.175,3.16096925,1.360776,0.58116475,0.850485,5
2864,0,0.6125,0.4875,0.15,2.6932025,1.26155275,0.69456275,0.737087,4
2320,2,1.6375,1.3125,0.4375,38.215126,16.59863225,7.38504475,11.169703,10
3620,2,1.375,1.0125,0.3125,18.4555245,8.40562675,3.8838815,5.6699,9
2729,1,1.5875,1.2875,0.4125,34.8415355,14.33067225,8.43397625,10.02154825,10
923,1,1.5,1.15,0.3875,27.20134525,12.62970225,5.3580555,8.3631025,11
3832,0,1.0625,0.825,0.2875,9.25611175,3.72795925,2.1829115,2.9199985,6
2140,2,1.6375,1.15,0.4,42.354153,19.54698025,9.3836845,5.17378375,9
2918,2,1.4125,1.1,0.375,27.8675585,12.68640125,6.67630725,7.04485075,9
1547,2,1.625,1.2625,0.4375,34.23202125,14.47241975,7.427569,11.056305,10
883,2,1.0375,0.7625,0.325,9.07184,3.69960975,2.14038725,2.9766975,8
2925,2,1.2625,0.95,0.3375,19.43358225,10.2341695,4.43669675,4.5642695,9
2645,0,0.9875,0.675,0.25,8.46232575,4.09650275,1.7293195,2.324659,5
1615,1,1.35,1.0125,0.3125,25.2594045,13.65028425,5.42892925,5.726599,9
3163,1,1.55,1.1625,0.475,38.03085425,16.17338975,9.00096625,10.0640725,11
668,0,1.4375,1.1125,0.425,22.72212425,9.85145125,4.15320175,7.087375,9
534,2,1.0,0.775,0.2875,9.82310175,4.18155125,1.97029025,3.2601925,10
226,1,1.425,1.0875,0.325,21.36134825,9.8939755,4.97533725,5.499803,10
2724,1,1.45,1.1625,0.375,25.69882175,10.5176645,5.57067675,8.221355,8
2096,2,1.5375,1.2125,0.4,32.81454625,14.18892475,7.07320025,8.9300925,10
1139,0,1.3375,1.025,0.325,17.22232125,7.597666,3.47281375,5.59902625,9
1254,0,0.825,0.625,0.2625,4.86193925,1.85689225,0.9922325,1.70097,7
1371,0,0.9875,0.725,0.2375,9.0434905,3.912231,2.26796,2.324659,7
463,1,1.625,1.3125,0.4375,41.71628925,19.1359125,8.9300925,11.3114505,11
582,2,1.5125,1.175,0.4125,33.38153625,17.3215445,6.44951125,8.278054,9
3714,2,1.4,1.1625,0.4,29.24250925,12.246984,5.74077375,9.5537815,9
1368,2,1.1375,0.875,0.35,14.69921575,6.2652395,3.58621175,3.8271825,10
182,1,1.025,0.7875,0.2375,8.674947,3.4302895,2.08368825,2.551455,9
3642,1,1.7,1.325,0.5125,42.410852,16.51358375,9.5537815,13.1825175,14
418,1,1.475,1.175,0.375,28.22192725,13.6361095,6.577084,6.80388,8
1951,2,1.5375,1.1875,0.3875,29.1149365,12.6722265,7.087375,8.0796075,9
3723,2,1.7375,1.325,0.5,58.04560125,21.262125,11.89261525,17.27902025,14
1703,1,0.775,0.6125,0.2375,4.252425,1.48834875,0.963883,1.360776,7
2991,0,1.1625,0.85,0.275,9.808927,4.03980375,2.0695135,3.2034935,11
1572,2,1.55,1.2,0.4375,29.49765475,13.154168,6.30776375,8.50485,9
2504,2,1.4125,1.1125,0.3875,23.416687,9.6671795,5.82582225,7.01650125,10
229,2,1.8375,1.5,0.55,72.4329725,32.13415825,12.47378,17.0097,11
3720,1,1.2625,0.975,0.3,18.5122235,9.39785925,3.92640575,4.7343665,9
22,0,0.925,0.6875,0.2375,7.2858215,2.87747425,1.5592225,2.33883375,6
3728,0,0.325,0.25,0.075,0.3685435,0.12757275,0.0850485,0.113398,3
308,0,1.125,0.85,0.3125,11.46737275,4.8477645,1.984465,3.81300775,8
1715,1,1.8625,1.4125,0.5375,54.7428845,25.401152,12.99824575,14.17475,11
302,2,1.1125,0.8875,0.375,13.7495075,5.1312595,3.5436875,4.3941725,11
276,2,1.425,1.125,0.3375,22.12678475,9.48290775,5.2446575,5.953395,8
1223,2,1.6375,1.325,0.475,40.483086,13.9763035,9.015141,16.0174675,18
1756,2,1.15,0.9,0.2875,13.48018725,5.96756975,2.9766975,4.53592,8
1299,1,1.125,0.8375,0.3125,9.8939755,3.3735905,2.99087225,3.2601925,10
3119,1,1.6375,1.275,0.5375,50.56133325,25.18853075,11.60912025,11.89261525,11
675,1,1.4875,1.1625,0.4375,31.6096925,11.38232425,7.200773,11.056305,13
304,0,1.2875,0.975,0.3125,16.17338975,6.747181,3.58621175,5.2446575,8
3852,0,0.95,0.75,0.225,7.8528115,4.69184225,1.77184375,2.324659,6
2049,0,1.375,1.0625,0.3375,18.597272,7.2858215,4.819415,5.7549485,10
3366,1,1.6625,1.2625,0.4,36.5425055,17.42076775,7.1724235,10.39009175,11
1386,1,1.6625,1.35,0.4375,38.1867765,14.04717725,7.200773,11.7650425,17
3451,1,1.6625,1.2875,0.475,46.45065575,23.5584345,10.13494625,10.5176645,11
1698,1,1.575,1.175,0.3875,32.10580875,16.6978555,5.9817445,8.1363065,8
2457,2,1.5625,1.2125,0.475,33.29648775,12.43125575,6.53455975,11.90679,17
898,0,1.5375,1.225,0.3875,28.02348075,11.75086775,5.5281525,9.7805775,13
939,2,1.5875,1.2625,0.425,40.1145425,17.1514475,8.4198015,10.3475675,15
2699,2,1.425,1.1375,0.375,31.3828965,15.30873,7.2291225,7.654365,8
3870,2,1.7,1.375,0.5,45.245802,14.8834875,11.55242125,16.5844575,21
2248,2,1.6125,1.3125,0.475,51.27007075,19.94387325,11.01378075,11.1980525,18
3649,1,1.2875,0.975,0.3875,20.19901875,10.47514025,3.8838815,4.3941725,7
2734,0,0.7375,0.55,0.2125,3.64291075,1.65844575,0.7654365,1.03475675,5
3255,1,1.425,1.05,0.35,24.79163775,11.793392,4.6776675,7.087375,8
465,2,1.125,0.8625,0.2875,14.061352,5.40057975,3.3168915,3.96893,12
1523,1,0.6875,0.5,0.2,2.8066005,1.0489315,0.680388,0.850485,5
3010,0,0.9,0.6625,0.1875,5.06038575,2.22543575,0.9922325,1.530873,6
1285,1,0.95,0.7125,0.25,7.55514175,3.2601925,1.7293195,2.1262125,11
2429,2,1.575,1.2,0.4375,38.76794125,14.21727425,8.60407325,14.5999925,17
899,1,1.0375,0.75,0.25,9.51125725,4.37999775,1.94194075,2.6932025,7
2529,1,1.3125,1.0,0.3875,20.0430965,7.994559,4.55009475,6.3786375,9
3241,0,1.325,1.05,0.3,16.91047675,7.24329725,3.9972795,5.0178615,7
621,0,1.05,0.75,0.2625,8.958442,3.55786225,1.984465,2.93417325,7
569,2,1.5625,1.2125,0.4375,38.96638775,20.79435825,7.69688925,9.412034,9
924,1,1.4125,1.1,0.4375,25.58542375,8.788345,5.4714535,9.2135875,14
326,1,1.5125,1.1625,0.4125,29.937072,11.94931425,7.01650125,9.63883,13
3593,2,1.15,0.8875,0.325,12.984071,5.443104,2.99087225,3.685435,13
817,1,1.375,1.025,0.325,24.67823975,12.62970225,5.99591925,6.0384435,9
3810,0,0.4375,0.325,0.1375,0.89300925,0.29766975,0.18427175,0.35436875,5
1101,2,1.375,1.025,0.3625,23.48756075,8.77417025,5.40057975,7.087375,13
3278,1,0.7,0.5,0.2,2.59397925,0.9355335,0.60951425,0.850485,5
124,0,1.2625,0.9625,0.3125,16.896302,6.9456275,2.7499015,5.953395,9
578,2,1.55,1.25,0.375,36.6559035,16.896302,8.88756825,10.035723,10
501,2,2.0,1.575,0.4875,71.610837,26.4500835,16.726205,17.57669,23
346,1,1.2125,0.9625,0.3125,13.53688625,5.6699,2.22543575,4.819415,12
202,0,1.25,0.9625,0.275,16.896302,8.54737425,2.948348,4.2807745,8
961,1,1.575,1.2625,0.4125,35.72037,12.82814875,7.81028725,11.509897,14
2284,2,1.4375,1.05,0.475,50.008518,25.911443,10.6877615,11.60912025,10
2323,1,1.4375,1.125,0.3875,27.68328675,14.0330025,6.08096775,6.6621325,9
1284,0,0.8875,0.675,0.25,6.123492,2.3530085,1.0489315,2.1262125,10
2781,2,1.275,0.975,0.3375,17.95940825,6.5487345,5.0745605,5.6699,9
1387,1,1.375,1.075,0.375,24.79163775,11.7083435,5.40057975,7.030676,9
989,1,1.2625,1.1,0.35,23.45921125,9.68135425,5.25883225,6.7755305,8
49,1,1.525,1.175,0.3875,29.27085875,14.0897015,6.16601625,7.89533575,9
896,1,0.6375,0.4875,0.1625,2.26796,0.89300925,0.510291,0.7654365,8
2123,1,1.175,0.9375,0.3,15.77649675,6.406987,3.458639,5.5281525,12
2507,1,1.8125,1.375,0.5,42.807745,24.76328825,12.09106175,14.41572075,9
1642,2,1.45,1.1375,0.425,25.72717125,10.602713,6.05261825,8.0796075,13
3176,2,1.25,1.0,0.375,22.92057075,7.7394135,3.175144,8.3631025,13
531,1,1.0125,0.7625,0.3,9.02931575,3.50116325,2.56562975,2.6932025,7
2019,0,0.8875,0.675,0.1875,5.03203625,2.2396105,0.89300925,1.530873,6
2410,2,1.6375,1.1375,0.425,36.55668025,16.6411565,8.97261675,9.68135425,11
489,1,1.1625,0.9,0.2875,16.42853525,8.3631025,3.95475525,3.40194,7
2703,2,1.5,1.1875,0.375,32.034935,16.3009625,5.556502,8.6465975,9
2487,1,1.0625,0.825,0.325,12.48795475,4.309124,2.65067825,4.3941725,9
2923,0,1.5625,1.15,0.4,35.13920525,15.592225,7.7394135,10.77281,14
2209,0,0.6375,0.4875,0.175,2.08368825,0.72291225,0.56699,0.7087375,6
615,1,1.275,1.0,0.325,18.24290325,7.654365,4.72019175,5.8116475,12
2917,0,0.9625,0.75,0.2375,8.561549,4.309124,1.74349425,2.08368825,7
3144,0,0.725,0.525,0.15,2.96252275,1.17650425,0.623689,0.9922325,5
85,0,1.05,0.8125,0.25,10.432616,4.74854125,1.77184375,3.21766825,11
1652,0,0.5875,0.4375,0.1625,1.74349425,0.58116475,0.56699,0.5386405,6
92,2,1.6,1.25,0.375,34.06192425,15.8473705,6.5487345,9.51125725,9
